Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
10111,Konkan Kanya,3,BRCU,"BARODA RAYAN CORPORATION LTD. SDG, UDHNA",13:00,13:10,250,WB,MUMBAI,MADG,MADGAON
10111,Konkan Kanya,4,MADG,MADGAON,16:00,,400,WB,MUMBAI,MADG,MADGAON
10112,Konkan Kanya Return,1,MADG,MADGAON,,08:00,0,MADG,MADGAON,WB,MUMBAI
10112,Konkan Kanya Return,2,SKDM,SIKRODA MINA,10:00,10:10,100,MADG,MADGAON,WB,MUMBAI
10112,Konkan Kanya Return,3,TLZ,TALAVLI,13:00,13:10,250,MADG,MADGAON,WB,MUMBAI
10112,Konkan Kanya Return,4,WB,MUMBAI,16:00,,400,MADG,MADGAON,WB,MUMBAI
11001,Pandharpur,1,NGE,NAGAR,,08:00,0,NGE,NAGAR,SNSI,SAINAGAR SHIRDI
11001,Pandharpur,2,NTSJ,M/S. NAVKAR TERMINAL LTD. AT TUMB,10:00,10:10,100,NGE,NAGAR,SNSI,SAINAGAR SHIRDI
11001,Pandharpur,3,BMRN,BHIMRANA,13:00,13:10,250,NGE,NAGAR,SNSI,SAINAGAR SHIRDI
11001,Pandharpur,4,SNSI,SAINAGAR SHIRDI,16:00,,400,NGE,NAGAR,SNSI,SAINAGAR SHIRDI
11002,Pandharpur Return,1,SNSI,SAINAGAR SHIRDI,,08:00,0,SNSI,SAINAGAR SHIRDI,NGE,NAGAR
11002,Pandharpur Return,2,POTI,POTHERI HALT,10:00,10:10,100,SNSI,SAINAGAR SHIRDI,NGE,NAGAR
11002,Pandharpur Return,3,LDPR,LADPURA,13:00,13:10,250,SNSI,SAINAGAR SHIRDI,NGE,NAGAR
11002,Pandharpur Return,4,NGE,NAGAR,16:00,,400,SNSI,SAINAGAR SHIRDI,NGE,NAGAR
11003,Road Rajya Rani,1,DRJ,DADAR JN.,,08:00,0,DRJ,DADAR JN.,SAWA,SAWANTWADI
11003,Road Rajya Rani,2,ASG,"PRATAP SPINNING WEAVING & MFG. CO. LTD. SDG, AMALNER",10:00,10:10,100,DRJ,DADAR JN.,SAWA,SAWANTWADI
11003,Road Rajya Rani,3,ARN,ARAND,13:00,13:10,250,DRJ,DADAR JN.,SAWA,SAWANTWADI
11003,Road Rajya Rani,4,SAWA,SAWANTWADI,16:00,,400,DRJ,DADAR JN.,SAWA,SAWANTWADI
11004,Road Rajya Rani Return,1,SAWA,SAWANTWADI,,08:00,0,SAWA,SAWANTWADI,DRJ,DADAR JN.
11004,Road Rajya Rani Return,2,BOCB,BELPAHAR OPEN CAST MINES III,10:00,10:10,100,SAWA,SAWANTWADI,DRJ,DADAR JN.
11004,Road Rajya Rani Return,3,ERNF,"FERTILIZER & CHEMICALS TRAVANCORE SIDING, ERNAKULAM TOWN",13:00,13:10,250,SAWA,SAWANTWADI,DRJ,DADAR JN.
11004,Road Rajya Rani Return,4,DRJ,DADAR JN.,16:00,,400,SAWA,SAWANTWADI,DRJ,DADAR JN.
11007,Deccan,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11007,Deccan,2,GAQ,GANJ KHAWAJA,10:00,10:10,100,WB,MUMBAI,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11007,Deccan,3,MWJ,MARWAS GRAM,13:00,13:10,250,WB,MUMBAI,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11007,Deccan,4,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",16:00,,400,WB,MUMBAI,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11008,Deccan Return,1,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",,08:00,0,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",WB,MUMBAI
11008,Deccan Return,2,PSKS,"M/S POL SIDING, KATARSING WALA",10:00,10:10,100,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",WB,MUMBAI
11008,Deccan Return,3,APE,ANDANAPETTAI HALT,13:00,13:10,250,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",WB,MUMBAI
11008,Deccan Return,4,WB,MUMBAI,16:00,,400,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",WB,MUMBAI
11009,Sinhagad,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11009,Sinhagad,2,PCCS,PATHERDIH COAL WASHERY PATHERDIH,10:00,10:10,100,WB,MUMBAI,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11009,Sinhagad,3,DOZ,DAURAI,13:00,13:10,250,WB,MUMBAI,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11009,Sinhagad,4,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",16:00,,400,WB,MUMBAI,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11010,Sinhagad Return,1,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",,08:00,0,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",WB,MUMBAI
11010,Sinhagad Return,2,SVPR,SRIVILLIPUTTUR,10:00,10:10,100,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",WB,MUMBAI
11010,Sinhagad Return,3,SANH,SANHA HALT,13:00,13:10,250,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",WB,MUMBAI
11010,Sinhagad Return,4,WB,MUMBAI,16:00,,400,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",WB,MUMBAI
11013,Coimbatore,1,LOKM,LOKMANYA TILAK,,08:00,0,LOKM,LOKMANYA TILAK,T,(T)
11013,Coimbatore,2,SRJ,SHANKARGARH,10:00,10:10,100,LOKM,LOKMANYA TILAK,T,(T)
11013,Coimbatore,3,NTPB,PRIVATE SIDING OF M/S NTPC GADARWARA RAILWAY SIDING SERVED BY BARANJH,13:00,13:10,250,LOKM,LOKMANYA TILAK,T,(T)
11013,Coimbatore,4,T,(T),16:00,,400,LOKM,LOKMANYA TILAK,T,(T)
11014,Coimbatore Return,1,T,(T),,08:00,0,T,(T),LOKM,LOKMANYA TILAK
11014,Coimbatore Return,2,LBA,LAMBHUA,10:00,10:10,100,T,(T),LOKM,LOKMANYA TILAK
11014,Coimbatore Return,3,FAH,FATEHA HALT,13:00,13:10,250,T,(T),LOKM,LOKMANYA TILAK
11014,Coimbatore Return,4,LOKM,LOKMANYA TILAK,16:00,,400,T,(T),LOKM,LOKMANYA TILAK
11015,Gorakhpur Kushinagar,1,LOKM,LOKMANYA TILAK,,08:00,0,LOKM,LOKMANYA TILAK,T,(T)
11015,Gorakhpur Kushinagar,2,MDGR,MANENDRAGARH,10:00,10:10,100,LOKM,LOKMANYA TILAK,T,(T)
11015,Gorakhpur Kushinagar,3,POLA,POL SDG,13:00,13:10,250,LOKM,LOKMANYA TILAK,T,(T)
11015,Gorakhpur Kushinagar,4,T,(T),16:00,,400,LOKM,LOKMANYA TILAK,T,(T)
11016,Gorakhpur Kushinagar Return,1,T,(T),,08:00,0,T,(T),LOKM,LOKMANYA TILAK
11016,Gorakhpur Kushinagar Return,2,HLZ,HALDIA,10:00,10:10,100,T,(T),LOKM,LOKMANYA TILAK
11016,Gorakhpur Kushinagar Return,3,ADRE,ADRA EAST CABIN,13:00,13:10,250,T,(T),LOKM,LOKMANYA TILAK
11016,Gorakhpur Kushinagar Return,4,LOKM,LOKMANYA TILAK,16:00,,400,T,(T),LOKM,LOKMANYA TILAK
11017,Karaikkal,1,LOKM,LOKMANYA TILAK,,08:00,0,LOKM,LOKMANYA TILAK,T,(T)
11017,Karaikkal,2,UB,USKA BAZAR,10:00,10:10,100,LOKM,LOKMANYA TILAK,T,(T)
11017,Karaikkal,3,CRKR,CHAURAKHERI,13:00,13:10,250,LOKM,LOKMANYA TILAK,T,(T)
11017,Karaikkal,4,T,(T),16:00,,400,LOKM,LOKMANYA TILAK,T,(T)
11018,Karaikkal Return,1,T,(T),,08:00,0,T,(T),LOKM,LOKMANYA TILAK
11018,Karaikkal Return,2,SPTR,SILAPATHAR,10:00,10:10,100,T,(T),LOKM,LOKMANYA TILAK
11018,Karaikkal Return,3,LEK,LAKHAKHERA,13:00,13:10,250,T,(T),LOKM,LOKMANYA TILAK
11018,Karaikkal Return,4,LOKM,LOKMANYA TILAK,16:00,,400,T,(T),LOKM,LOKMANYA TILAK
11019,Konark,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,BBS,BHUBANESWAR
11019,Konark,2,KBCS,"KRISHAK BHARAT CO-OP SEC PVT. SDG, KOSAD",10:00,10:10,100,WB,MUMBAI,BBS,BHUBANESWAR
11019,Konark,3,HLSR,HINDUSTAN STEEL LTD AT RAKSHI,13:00,13:10,250,WB,MUMBAI,BBS,BHUBANESWAR
11019,Konark,4,BBS,BHUBANESWAR,16:00,,400,WB,MUMBAI,BBS,BHUBANESWAR
11020,Konark Return,1,BBS,BHUBANESWAR,,08:00,0,BBS,BHUBANESWAR,WB,MUMBAI
11020,Konark Return,2,COIB,COMBINED OIL INDUSTRY AT SOMENATHOPUR OF M/S. HPCL,10:00,10:10,100,BBS,BHUBANESWAR,WB,MUMBAI
11020,Konark Return,3,EFSG,"ORDINANCE FACTORY SDG, AMBAJHARI, NAGPUR",13:00,13:10,250,BBS,BHUBANESWAR,WB,MUMBAI
11020,Konark Return,4,WB,MUMBAI,16:00,,400,BBS,BHUBANESWAR,WB,MUMBAI
11023,Chhatrapati Sahyadri,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11023,Chhatrapati Sahyadri,2,ULCE,"KULTI SDG S/B KULTI STATION, KULTI",10:00,10:10,100,WB,MUMBAI,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11023,Chhatrapati Sahyadri,3,KALN,KALANA,13:00,13:10,250,WB,MUMBAI,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11023,Chhatrapati Sahyadri,4,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,16:00,,400,WB,MUMBAI,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11024,Chhatrapati Sahyadri Return,1,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,,08:00,0,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,WB,MUMBAI
11024,Chhatrapati Sahyadri Return,2,BRCB,BARODA C. B.,10:00,10:10,100,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,WB,MUMBAI
11024,Chhatrapati Sahyadri Return,3,BNTH,BANDHNATH,13:00,13:10,250,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,WB,MUMBAI
11024,Chhatrapati Sahyadri Return,4,WB,MUMBAI,16:00,,400,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,WB,MUMBAI
11027,Mail,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,MAS,CHENNAI CENTRAL
11027,Mail,2,KNNK,KANINA KHAS,10:00,10:10,100,WB,MUMBAI,MAS,CHENNAI CENTRAL
11027,Mail,3,BPCL,BPC/IBP SIDING,13:00,13:10,250,WB,MUMBAI,MAS,CHENNAI CENTRAL
11027,Mail,4,MAS,CHENNAI CENTRAL,16:00,,400,WB,MUMBAI,MAS,CHENNAI CENTRAL
11028,Mail Return,1,MAS,CHENNAI CENTRAL,,08:00,0,MAS,CHENNAI CENTRAL,WB,MUMBAI
11028,Mail Return,2,KI,KONDAPALLI,10:00,10:10,100,MAS,CHENNAI CENTRAL,WB,MUMBAI
11028,Mail Return,3,KCR,KHONKER,13:00,13:10,250,MAS,CHENNAI CENTRAL,WB,MUMBAI
11028,Mail Return,4,WB,MUMBAI,16:00,,400,MAS,CHENNAI CENTRAL,WB,MUMBAI
11029,Chhatrapati Koyna,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11029,Chhatrapati Koyna,2,PSTA,PUBLIC SIDING AT TATANAGAR,10:00,10:10,100,WB,MUMBAI,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11029,Chhatrapati Koyna,3,GUNS,GHUNAS,13:00,13:10,250,WB,MUMBAI,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11029,Chhatrapati Koyna,4,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,16:00,,400,WB,MUMBAI,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11030,Chhatrapati Koyna Return,1,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,,08:00,0,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,WB,MUMBAI
11030,Chhatrapati Koyna Return,2,BAPR,BALLUPUR HALT,10:00,10:10,100,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,WB,MUMBAI
11030,Chhatrapati Koyna Return,3,TGH,TITA GARH,13:00,13:10,250,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,WB,MUMBAI
11030,Chhatrapati Koyna Return,4,WB,MUMBAI,16:00,,400,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,WB,MUMBAI
11031,Saheb Nanded,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,HAZU,HAZUR
11031,Saheb Nanded,2,MHBS,M/S HPCL & BPCL,10:00,10:10,100,WB,MUMBAI,HAZU,HAZUR
11031,Saheb Nanded,3,NOI,NARIAOLI,13:00,13:10,250,WB,MUMBAI,HAZU,HAZUR
11031,Saheb Nanded,4,HAZU,HAZUR,16:00,,400,WB,MUMBAI,HAZU,HAZUR
11032,Saheb Nanded Return,1,HAZU,HAZUR,,08:00,0,HAZU,HAZUR,WB,MUMBAI
11032,Saheb Nanded Return,2,BXK,BANDARKHAL,10:00,10:10,100,HAZU,HAZUR,WB,MUMBAI
11032,Saheb Nanded Return,3,KNHP,KANHAIPUR,13:00,13:10,250,HAZU,HAZUR,WB,MUMBAI
11032,Saheb Nanded Return,4,WB,MUMBAI,16:00,,400,HAZU,HAZUR,WB,MUMBAI
11035,Sharavati,1,DRJ,DADAR JN.,,08:00,0,DRJ,DADAR JN.,AMSC,"MYSORE CEMENT SDG, AMMASANDRA"
11035,Sharavati,2,BKTL,BAKTAL,10:00,10:10,100,DRJ,DADAR JN.,AMSC,"MYSORE CEMENT SDG, AMMASANDRA"
11035,Sharavati,3,OGM,OORGAUM,13:00,13:10,250,DRJ,DADAR JN.,AMSC,"MYSORE CEMENT SDG, AMMASANDRA"
11035,Sharavati,4,AMSC,"MYSORE CEMENT SDG, AMMASANDRA",16:00,,400,DRJ,DADAR JN.,AMSC,"MYSORE CEMENT SDG, AMMASANDRA"
11036,Sharavati Return,1,AMSC,"MYSORE CEMENT SDG, AMMASANDRA",,08:00,0,AMSC,"MYSORE CEMENT SDG, AMMASANDRA",DRJ,DADAR JN.
11036,Sharavati Return,2,ICDS,INLAND CONTAINER DEPOT SIDING SABARMATI,10:00,10:10,100,AMSC,"MYSORE CEMENT SDG, AMMASANDRA",DRJ,DADAR JN.
11036,Sharavati Return,3,RKPG,RAMAKISTA PURAM GATE HALT,13:00,13:10,250,AMSC,"MYSORE CEMENT SDG, AMMASANDRA",DRJ,DADAR JN.
11036,Sharavati Return,4,DRJ,DADAR JN.,16:00,,400,AMSC,"MYSORE CEMENT SDG, AMMASANDRA",DRJ,DADAR JN.
11039,Gondia Maharashtra,1,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,,08:00,0,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,CSTM,MUMBAI CHHATRAPATI TERMINUS
11039,Gondia Maharashtra,2,RCPH,RAM CHANDRA PURAM,10:00,10:10,100,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,CSTM,MUMBAI CHHATRAPATI TERMINUS
11039,Gondia Maharashtra,3,KJH,KAJRA,13:00,13:10,250,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,CSTM,MUMBAI CHHATRAPATI TERMINUS
11039,Gondia Maharashtra,4,CSTM,MUMBAI CHHATRAPATI TERMINUS,16:00,,400,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,CSTM,MUMBAI CHHATRAPATI TERMINUS
11040,Gondia Maharashtra Return,1,CSTM,MUMBAI CHHATRAPATI TERMINUS,,08:00,0,CSTM,MUMBAI CHHATRAPATI TERMINUS,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11040,Gondia Maharashtra Return,2,PKST,CALCUTTA,10:00,10:10,100,CSTM,MUMBAI CHHATRAPATI TERMINUS,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11040,Gondia Maharashtra Return,3,DMD,DHARMADAM HALT,13:00,13:10,250,CSTM,MUMBAI CHHATRAPATI TERMINUS,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11040,Gondia Maharashtra Return,4,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,16:00,,400,CSTM,MUMBAI CHHATRAPATI TERMINUS,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11041,Chennai,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,CST,CST
11041,Chennai,2,SSA,SIRSA,10:00,10:10,100,WB,MUMBAI,CST,CST
11041,Chennai,3,BHU,BHANDU-MOTIDAU,13:00,13:10,250,WB,MUMBAI,CST,CST
11041,Chennai,4,CST,CST,16:00,,400,WB,MUMBAI,CST,CST
11042,Chennai Return,1,CST,CST,,08:00,0,CST,CST,WB,MUMBAI
11042,Chennai Return,2,BBDA,BARBENDA,10:00,10:10,100,CST,CST,WB,MUMBAI
11042,Chennai Return,3,SEG,SHEGAON,13:00,13:10,250,CST,CST,WB,MUMBAI
11042,Chennai Return,4,WB,MUMBAI,16:00,,400,CST,CST,WB,MUMBAI
11043,Madurai,1,LOKM4,LOKMANYATILAK,,08:00,0,LOKM4,LOKMANYATILAK,T,(T)
11043,Madurai,2,VDL,VAITHISVARANKOIL,10:00,10:10,100,LOKM4,LOKMANYATILAK,T,(T)
11043,Madurai,3,HUK,HOLAMBI KALAN,13:00,13:10,250,LOKM4,LOKMANYATILAK,T,(T)
11043,Madurai,4,T,(T),16:00,,400,LOKM4,LOKMANYATILAK,T,(T)
11044,Madurai Return,1,T,(T),,08:00,0,T,(T),LOKM4,LOKMANYATILAK
11044,Madurai Return,2,BLDI,BHILDI,10:00,10:10,100,T,(T),LOKM4,LOKMANYATILAK
11044,Madurai Return,3,GAUR,GAUR,13:00,13:10,250,T,(T),LOKM4,LOKMANYATILAK
11044,Madurai Return,4,LOKM4,LOKMANYATILAK,16:00,,400,T,(T),LOKM4,LOKMANYATILAK
11045,Dhanbad Deekshabhoomi,1,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,,08:00,0,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,CSTM,MUMBAI CHHATRAPATI TERMINUS
11045,Dhanbad Deekshabhoomi,2,BQU,BHATTIPROLU,10:00,10:10,100,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,CSTM,MUMBAI CHHATRAPATI TERMINUS
11045,Dhanbad Deekshabhoomi,3,KNO,KUNDGOL,13:00,13:10,250,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,CSTM,MUMBAI CHHATRAPATI TERMINUS
11045,Dhanbad Deekshabhoomi,4,CSTM,MUMBAI CHHATRAPATI TERMINUS,16:00,,400,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,CSTM,MUMBAI CHHATRAPATI TERMINUS
11046,Dhanbad Deekshabhoomi Return,1,CSTM,MUMBAI CHHATRAPATI TERMINUS,,08:00,0,CSTM,MUMBAI CHHATRAPATI TERMINUS,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11046,Dhanbad Deekshabhoomi Return,2,HLV,HALIYURU,10:00,10:10,100,CSTM,MUMBAI CHHATRAPATI TERMINUS,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11046,Dhanbad Deekshabhoomi Return,3,MELH,MELUSAR HALT,13:00,13:10,250,CSTM,MUMBAI CHHATRAPATI TERMINUS,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11046,Dhanbad Deekshabhoomi Return,4,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,16:00,,400,CSTM,MUMBAI CHHATRAPATI TERMINUS,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11049,Chhatrapati,1,ADIJ,AHMEDABAD JN.,,08:00,0,ADIJ,AHMEDABAD JN.,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11049,Chhatrapati,2,ROL,RAJOLI,10:00,10:10,100,ADIJ,AHMEDABAD JN.,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11049,Chhatrapati,3,KKGS,"GUMGAON SDG, KHAPA",13:00,13:10,250,ADIJ,AHMEDABAD JN.,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11049,Chhatrapati,4,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,16:00,,400,ADIJ,AHMEDABAD JN.,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
